incident_id,Incident_Title,incident_impact_level,Incident_color,provider,Playground,API,DALL-E,ChatGPT,api.anthropic.com,claude.ai,console.anthropic.com,Character.AI,REST API,gRPC API,Stable Assistant,investigating_flag,investigating_timestamp,investigating_description,identified_flag,identified_timestamp,identified_description,monitoring_flag,monitoring_timestamp,monitoring_description,resolved_flag,resolved_timestamp,resolved_description,postmortem_flag,postmortem_timestamp,postmortem_description,start_timestamp,close_timestamp,time_span,over_one_day
5dabb0863fcf,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-12-28 11:52:04.455000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-12-28 12:52:00+00:00,This incident has been resolved.,0,,,2023-12-28 11:52:04+00:00,2023-12-28 12:52:00+00:00,0 days 00:59:55,False
cbdf7f227a5f,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-12-21 18:40:04.449000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-12-21 18:45:25.209000+00:00,A temporary issue caused downtime for the Stable Diffusion 1.6 endpoint.,0,,,2023-12-21 18:40:04+00:00,2023-12-21 18:45:25+00:00,0 days 00:05:20,False
391757285a57,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-12-18 14:00:05.312000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-12-18 16:50:18.194000+00:00,This incident has been resolved.,0,,,2023-12-18 14:00:05+00:00,2023-12-18 16:50:18+00:00,0 days 02:50:12,False
8d370838790a,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,0,,,1,2023-12-10 14:40:53.795000+00:00,We have mitigated the errors.,0,,,2023-12-10 14:40:53+00:00,2023-12-10 14:40:53+00:00,0 days 00:00:00,False
23d9f7b701e0,REST API Errors,0,#00b093,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,0,,,1,2023-12-06 14:20:52.176000+00:00,We have resolved the errors.,0,,,2023-12-06 14:20:52+00:00,2023-12-06 14:20:52+00:00,0 days 00:00:00,False
b907a9fe98bc,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-11-30 10:50:52.306000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-11-30 11:10:00+00:00,This incident has been resolved.,0,,,2023-11-30 10:50:52+00:00,2023-11-30 11:10:00+00:00,0 days 00:19:07,False
1b2e2335c432,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-11-17 14:15:52.164000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-11-17 14:20:00+00:00,This incident has been resolved.,0,,,2023-11-17 14:15:52+00:00,2023-11-17 14:20:00+00:00,0 days 00:04:07,False
64c5c8dfbe7f,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-11-16 19:48:50.632000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-11-16 20:01:03.349000+00:00,SDXL v2.2.2 was briefly disrupted during deprecation of legacy models. Service has now been restored.,0,,,2023-11-16 19:48:50+00:00,2023-11-16 20:01:03+00:00,0 days 00:12:12,False
b3be1c7cab78,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-11-05 20:32:35.571000+00:00,We are currently investigating elevated error rates detected by our monitoring.,1,2023-11-05 21:13:58.175000+00:00,An issue with one of our inference hosts is resulting in errors on legacy models. SDXL generations appear unaffected at this time.,0,,,1,2023-11-06 01:32:45.518000+00:00,This incident has been resolved.,0,,,2023-11-05 20:32:35+00:00,2023-11-06 01:32:45+00:00,0 days 05:00:09,False
76b3fd5adeba,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,0,,,1,2023-10-30 20:09:18.422000+00:00,API failures have been traced to an outage with one of our service providers. We will continue monitoring and provide updates as soon as possible.,1,2023-10-30 20:25:44.681000+00:00,We are seeing signs of recovery across all services.,1,2023-10-30 20:37:19.563000+00:00,This incident has been resolved.,0,,,2023-10-30 20:37:19+00:00,2023-10-30 20:37:19+00:00,0 days 00:00:00,False
330d4f6e579a,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-10-23 20:33:50.383000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-23 20:48:00+00:00,Ongoing efforts to address the root cause of yesterday\\'s issue caused a brief disruption in service.,0,,,2023-10-23 20:33:50+00:00,2023-10-23 20:48:00+00:00,0 days 00:14:09,False
6eaecc51b8e8,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-10-22 19:04:50.640000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,1,2023-10-22 19:59:15.084000+00:00,A network failure on our backend systems caused an interruption in service for some users. We have resolved the underlying issue and are monitoring to ensure systems recover.,1,2023-10-22 20:06:45.510000+00:00,This incident has been resolved.,0,,,2023-10-22 19:04:50+00:00,2023-10-22 20:06:45+00:00,0 days 01:01:54,False
653abadebf8b,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-10-16 16:01:34.068000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-16 16:41:00+00:00,This incident has been resolved.,0,,,2023-10-16 16:01:34+00:00,2023-10-16 16:41:00+00:00,0 days 00:39:25,False
be9f29d46dbe,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-10-12 04:12:18.020000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-12 04:13:26.568000+00:00,This incident has been resolved.,0,,,2023-10-12 04:12:18+00:00,2023-10-12 04:13:26+00:00,0 days 00:01:08,False
6ec7c1e8b06f,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-10-11 20:40:34.583000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-11 22:05:00+00:00,We identified & resolved an issue caused by an update which was impacting a small percentage of requests.,0,,,2023-10-11 20:40:34+00:00,2023-10-11 22:05:00+00:00,0 days 01:24:25,False
85987e4a5433,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-10-11 17:32:34.012000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-11 17:37:17.605000+00:00,This incident has been resolved.,0,,,2023-10-11 17:32:34+00:00,2023-10-11 17:37:17+00:00,0 days 00:04:43,False
5034d5d726b3,REST API Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,0,0,1,2023-10-10 22:07:34.165000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-10 22:20:12.550000+00:00,This incident has been resolved.,0,,,2023-10-10 22:07:34+00:00,2023-10-10 22:20:12+00:00,0 days 00:12:38,False
